i,21
was,5
riding,2
shotgun,2
with,2
my,5
hair,2
undone,2
in,2
the,22
front,3
seat,2
of,2
his,4
car,2
he's,1
got,5
a,3
onehand,1
feel,1
on,10
steering,1
wheel,1
other,1
heart,1
look,1
around,1
turn,1
radio,2
down,2
he,7
says,2
baby,1
is,7
something,2
wrong,2
say,1
nothing,1
just,1
thinking,1
how,1
we,1
don't,4
have,4
song,9
and,19
our,8
slamming,3
screen,3
door,3
sneakin',3
out,3
late,6
tapping,3
your,4
window,3
when,6
we're,3
phone,3
you,4
talk,2
real,3
slow,3
'cause,4
it's,3
mama,3
know,3
way,4
laugh,2
first,3
date,3
man,3
didn't,4
kiss,3
her,2
should,3
home,3
,3
'fore,3
said,4
amen,3
asking,3
god,3
if,3
could,3
play,4
it,4
again,4
walking,1
up,1
porch,1
steps,1
after,1
everything,1
that,3
day,1
had,1
gone,1
all,2
been,1
trampled,1
lost,1
thrown,1
away,1
to,4
hallway,1
well,1
lovin',1
bed,1
almost,1
notice,1
roses,1
note,1
i've,1
heard,1
every,1
album,1
listened,1
waited,1
for,1
come,1
along,1
as,2
good,1
talks,1
laughs,1
him,1
oh,1
yeah,2
ohoh,1
grabbed,1
pen,1
an,1
old,1
napkin,1
wrote,1
