untouchable,4
like,10
a,7
distant,1
diamond,1
sky,1
i'm,9
reaching,1
out,8
and,5
i,8
just,1
can't,1
tell,1
you,13
why,1
caught,3
up,3
in,15
burning,3
brighter,3
than,3
the,17
sun,3
when,6
you're,6
close,3
feel,5
coming,3
undone,3
middle,7
of,10
night,7
this,7
dream,7
it's,7
million,6
little,9
stars,6
spelling,7
your,7
name,7
got,7
to,11
come,31
on,31
say,6
that,9
we'll,6
be,7
together,6
taste,3
heaven,3
half,1
full,1
won't,1
wait,1
here,2
all,1
day,1
know,1
saying,1
you'd,1
anyway,1
but,2
now,2
oh,8
waking,2
from,2
want,2
by,2
my,2
side,2
standing,2
next,2
me,2
ohoh,2
they're,1
