zayn,4
sittin',9
eyes,258
wide,17
open,72
behind,19
four,15
walls,27
hopin',6
call,160
cruel,43
existence,1
like,1141
point,12
baby,544
feel,234
crazy,79
night,317
every,235
day,172
give,95
somethin',12
oh,912
say,563
nothin',10
happenin',2
wanna,342
live,96
forever,174
'cause,603
know,1036
i'll,412
livin',9
vain,6
fit,15
wherever,11
keep,208
callin',15
name,154
come,443
back,652
home,222
taylor,90
swift,64
i'm,1177
got,515
one,486
thing,167
stuck,4
mind,151
wondering,36
dodged,1
bullet,10
lost,108
love,845
life,188
gave,83
something,181
nothing,180
happening,9
,10
babe,50
i've,272
looking,95
sad,47
nicest,2
places,63
see,522
around,272
empty,16
faces,1
cab,8
tell,298
place,74
used,97
everything,217
thinking,72
'bout,55
someone,76
else,85
count,22
days,70
words,55
need,195
alive,26
hoping,27
side,76
can't,356
help,65
think,397
driving,21
away,263
let,216
real,51
make,206
stay,238
standing,87
always,228
turn,91
deny,4
crying,40
hard,88
heart's,12
somewhere,42
happiness,19
want,318
hold,100
still,268
look,323
things,175
cage,2
stand,51
free,57
someday,60
go,469
sometimes,57
inside,38
never,767
thought,160
would,325
lose,70
longer,5
less,17
heard,65
song,66
tonight,94
radio,10
another,87
girl,233
sings,5
boy,76
sees,11
face,142
space,22
room,97
close,61
wake,42
remember,211
time,627
erased,4
scared,39
took,78
picture,45
bedroom,22
hope,101
falls,19
feeling,94
get,282
wonder,37
ever,333
good,197
wish,224
could,417
sky,56
oceans,1
sunset,15
lips,41
summer,75
went,54
yearning,3
stays,2
play,83
cool,41
best,141
wait,84
patiently,4
he's,134
gonna,320
notice,12
okay,35
we're,204
friends,119
anyway,12
hear,85
voice,14
smoking,3
boys,33
touch,67
phone,71
choose,10
town,105
dream,84
getting,91
there's,178
sprinkler,6
splashes,6
fireplace,6
ashes,9
waited,14
ages,6
search,8
party,32
better,228
bodies,4
learn,20
cared,2
kid,33
great,23
escape,12
long,190
daisy,3
may,23
picked,10
petals,2
loves,23
different,45
bloomed,2
writing,11
songs,30
parking,5
lot,35
run,180
called,47
taxi,6
take,304
dreams,90
rare,18
blood,84
sweat,6
tears,47
hosted,2
parties,6
starved,2
body,41
i'd,263
saved,8
perfect,62
kiss,76
jokes,12
funny,28
money,19
looked,38
bloodsoaked,2
gown,7
saw,106
pages,6
turned,38
bridges,8
burned,25
step,27
friendship,2
bracelets,2
moment,41
taste,9
reason,39
afraid,24
yeah,298
wasting,3
giving,23
chances,12
taken,18
figured,20
we'll,83
fine,63
anymore,51
pick,20
last,194
straw,6
hurt,37
sorry,95
believe,84
ohoh,114
innocent,18
might,95
could've,48
loved,94
left,94
waiting,126
cold,54
share,5
secrets,14
tired,50
asking,63
listen,13
worked,8
crawling,8
honey,62
would've,76
gone,134
shine,45
bright,42
watched,30
fade,23
beg,3
woah,13
understand,18
cure,5
fear,18
lookin',18
light,95
sit,33
dark,77
throw,24
built,5
even,135
phoenix,1
risin',1
mendin',1
gashes,1
