want,2
know,5
i'm,11
mirrorball,4
i'll,3
show,2
every,2
version,2
tonight,2
get,2
floor,1
shimmering,1
beautiful,1
break,1
million,1
pieces,1
hush,4
one,2
around,2
dear,2
find,2
tallest,4
tiptoes,4
spinning,4
highest,4
heels,4
love,4
shining,4
said,2
end,2
near,2
still,7
change,1
everything,3
fit,1
like,1
regulars,1
masquerade,1
revelers,1
drunk,1
watch,1
shattered,1
edges,1
glisten,1
called,1
circus,1
burned,1
disco,1
sent,1
home,1
horses,1
rodeo,1
clowns,1
tightrope,1
trying,2
laughing,1
believer,1
i've,1
never,1
natural,1
try,3
trapeze,1
keep,1
looking,1
